SensorDate,Settlement,Main_Dmg,geometry
2023-09-10,Ait Othmane,Possible damage,POINT (-8.406548401999942 31.160928797000054)
2023-09-10,Ait Othmane,Damage,POINT (-8.407284549999929 31.159854066000037)
2023-09-10,Ait Othmane,Damage,POINT (-8.406480685999952 31.16064700800007)
2023-09-10,Ait Othmane,Damage,POINT (-8.406312485999933 31.16063827000005)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.406491607999953 31.160518128000035)
2023-09-10,Ait Othmane,Damage,POINT (-8.40619234299993 31.160644824000087)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.406694757999958 31.159246799000073)
2023-09-10,Ait Othmane,Damage,POINT (-8.398450784999909 31.15947834700006)
2023-09-10,Ait Othmane,Damage,POINT (-8.398341563999907 31.15948053200009)
2023-09-10,Ait Othmane,Damage,POINT (-8.398321903999943 31.15955480200006)
2023-09-10,Ait Othmane,Damage,POINT (-8.393555515999935 31.158764044000065)
2023-09-10,Ait Othmane,Damage,POINT (-8.392358457999933 31.15854341900007)
2023-09-10,Ait Othmane,Damage,POINT (-8.39216622899994 31.158036635000087)
2023-09-10,Ait Othmane,Damage,POINT (-8.392041717999916 31.157949258000087)
2023-09-10,Ait Othmane,Damage,POINT (-8.39149998299996 31.15796454900004)
2023-09-10,Ait Othmane,Damage,POINT (-8.39107402299993 31.157254615000056)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.391076206999912 31.157483978000073)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.39115266199991 31.157737370000063)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.391596097999923 31.157418446000065)
2023-09-10,Ait Othmane,Damage,POINT (-8.393221300999926 31.155308303000083)
2023-09-10,Ait Othmane,Damage,POINT (-8.392673012999921 31.155633781000063)
2023-09-10,Ait Othmane,Damage,POINT (-8.393485614999918 31.15512044400009)
2023-09-10,Ait Othmane,Damage,POINT (-8.393470323999907 31.155238402000066)
2023-09-10,Ait Othmane,Damage,POINT (-8.392520103999914 31.15511170600007)
2023-09-10,Ait Othmane,Damage,POINT (-8.39243272799996 31.15510733700006)
2023-09-10,Ait Othmane,Damage,POINT (-8.392477913999926 31.155003268000087)
2023-09-10,Ait Othmane,Damage,POINT (-8.393212562999906 31.155148841000084)
2023-09-10,Ait Othmane,Damage,POINT (-8.393303166999942 31.15501262500004)
2023-09-10,Ait Othmane,Damage,POINT (-8.393362723999928 31.15488469400009)
2023-09-10,Ait Othmane,Damage,POINT (-8.393834890999926 31.15500796300006)
2023-09-10,Ait Othmane,Damage,POINT (-8.393769358999918 31.15485942300006)
2023-09-10,Ait Othmane,Damage,POINT (-8.393640478999941 31.15483757900006)
2023-09-10,Ait Othmane,Damage,POINT (-8.393651400999943 31.154680302000088)
2023-09-10,Ait Othmane,Damage,POINT (-8.393590236999955 31.154568896000058)
2023-09-10,Ait Othmane,Damage,POINT (-8.393474298999934 31.154616627000053)
2023-09-10,Ait Othmane,Damage,POINT (-8.393240959999957 31.154476042000056)
2023-09-10,Ait Othmane,Damage,POINT (-8.39324969799992 31.154386481000074)
2023-09-10,Ait Othmane,Damage,POINT (-8.39310334199996 31.15526679900006)
2023-09-10,Ait Othmane,Damage,POINT (-8.393033440999943 31.155231849000074)
2023-09-10,Ait Othmane,Damage,POINT (-8.392873978999944 31.15519034500005)
2023-09-10,Ait Othmane,Damage,POINT (-8.392963505999944 31.15503505500004)
2023-09-10,Ait Othmane,Damage,POINT (-8.393059653999956 31.155074571000057)
2023-09-10,Ait Othmane,Damage,POINT (-8.39308805199994 31.15501340800006)
2023-09-10,Ait Othmane,Damage,POINT (-8.393095027999948 31.154794021000043)
2023-09-10,Ait Othmane,Damage,POINT (-8.393136531999914 31.15470664500009)
2023-09-10,Ait Othmane,Damage,POINT (-8.392640246999918 31.154722881000055)
2023-09-10,Ait Othmane,Damage,POINT (-8.393769358999918 31.154627876000063)
2023-09-10,Ait Othmane,Damage,POINT (-8.393386173999943 31.155060682000055)
2023-09-10,Ait Othmane,Damage,POINT (-8.393418939999947 31.154988597000056)
2023-09-10,Ait Othmane,Damage,POINT (-8.39353764699996 31.154981424000084)
2023-09-10,Ait Othmane,Damage,POINT (-8.39340915999992 31.154738172000066)
2023-09-10,Ait Othmane,Damage,POINT (-8.39334144299994 31.154749094000067)
2023-09-10,Ait Othmane,Damage,POINT (-8.393391684999926 31.154639873000065)
2023-09-10,Ait Othmane,Damage,POINT (-8.393238775999919 31.154652980000037)
2023-09-10,Ait Othmane,Damage,POINT (-8.39299630599993 31.154716327000074)
2023-09-10,Ait Othmane,Damage,POINT (-8.392825921999929 31.15479059800009)
2023-09-10,Ait Othmane,Damage,POINT (-8.39275383599994 31.15468793000008)
2023-09-10,Ait Othmane,Damage,POINT (-8.39289492499995 31.154701370000055)
2023-09-10,Ait Othmane,Damage,POINT (-8.39292422099993 31.15461584500008)
2023-09-10,Ait Othmane,Damage,POINT (-8.392537579999953 31.154731618000085)
2023-09-10,Ait Othmane,Damage,POINT (-8.392366508999942 31.15485472800009)
2023-09-10,Ait Othmane,Damage,POINT (-8.392231761999938 31.15501996100005)
2023-09-10,Ait Othmane,Damage,POINT (-8.392013319999933 31.154967535000083)
2023-09-10,Ait Othmane,Damage,POINT (-8.392225207999957 31.15485613000004)
2023-09-10,Ait Othmane,Damage,POINT (-8.392734176999909 31.155135735000044)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.393780509999942 31.15527116800007)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.39342008199992 31.155367282000043)
2023-09-10,Ait Othmane,Damage,POINT (-8.393197271999952 31.15486049900005)
2023-09-10,Ait Othmane,Damage,POINT (-8.392989752999938 31.15484957700005)
2023-09-10,Ait Othmane,Damage,POINT (-8.39276257399996 31.154958797000063)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.392334428999959 31.15519908300007)
2023-09-10,Ait Othmane,Damage,POINT (-8.392512864999958 31.154898416000037)
2023-09-10,Ait Othmane,Damage,POINT (-8.392414565999957 31.15500545200007)
2023-09-10,Ait Othmane,Damage,POINT (-8.393491774999916 31.15484817500004)
2023-09-10,Ait Othmane,Damage,POINT (-8.392991903999928 31.154995736000046)
2023-09-10,Ait Othmane,Damage,POINT (-8.392659906999938 31.15509641500006)
2023-09-10,Ait Othmane,Damage,POINT (-8.392563791999919 31.15526024600007)
2023-09-10,Ait Othmane,Damage,POINT (-8.393994582999937 31.154141827000046)
2023-09-10,Ait Othmane,Damage,POINT (-8.393878808999943 31.15367436300005)
2023-09-10,Ait Othmane,Damage,POINT (-8.392373748999944 31.153811981000047)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.392065745999957 31.153619752000054)
2023-09-10,Ait Othmane,Damage,POINT (-8.392795339999907 31.153309566000075)
2023-09-10,Ait Othmane,Damage,POINT (-8.392614033999905 31.153886251000074)
2023-09-10,Ait Othmane,Damage,POINT (-8.392493890999958 31.15392557000007)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.392751651999959 31.153956152000035)
2023-09-10,Ait Othmane,Damage,POINT (-8.391333967999913 31.15249914900005)
2023-09-10,Ait Othmane,Damage,POINT (-8.391915021999921 31.152896712000086)
2023-09-10,Ait Othmane,Damage,POINT (-8.392205548999925 31.15290544900006)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.39216186099992 31.15334451600006)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.39402516499996 31.152942584000073)
2023-09-10,Ait Othmane,Damage,POINT (-8.39141260699995 31.152866130000064)
2023-09-10,Ait Othmane,Damage,POINT (-8.391539302999945 31.151902804000088)
2023-09-10,Ait Othmane,Damage,POINT (-8.391414790999931 31.151732420000087)
2023-09-10,Ait Othmane,Damage,POINT (-8.391342705999932 31.151603539000064)
2023-09-10,Ait Othmane,Damage,POINT (-8.390838105999933 31.152221728000086)
2023-09-10,Ait Othmane,Damage,POINT (-8.391209456999945 31.15181761200006)
2023-09-10,Ait Othmane,Damage,POINT (-8.39089926999992 31.15251225500009)
2023-09-10,Ait Othmane,Damage,POINT (-8.390868687999955 31.15242269400005)
