Province or préfecture,Sub-province,Exposed Population [VI to IX Intensity zones]
Béni Mellal-Khénifra,Azilal,29100
Casablanca-Settat,Sidi Bennour,9600
Drâa-Tafilalet,Ouarzazate,135000
Marrakech-Safi,Al Haouz,576600
Marrakech-Safi,Chichaoua,386300
Marrakech-Safi,El Kelâa des Sraghna,448700
Marrakech-Safi,Essaouira,138400
Marrakech-Safi,Marrakech,1501400
Marrakech-Safi,Rehamna,98100
Marrakech-Safi,Safi,105100
Marrakech-Safi,Youssoufia,224200
Souss-Massa,Agadir Ida Ou Tanane,303600
Souss-Massa,Chtouka - ait baha,253000
Souss-Massa,Inezgane Aït Melloul,551500
Souss-Massa,Taroudannt,444200
Total,None,5204800
