ADM2_NAME,lat,lng,country,admin_name
Casablanca,33.5333,-7.5833,Morocco,Casablanca-Settat
El Kelaa des Srarhna,32.0481,-7.4083,Morocco,Marrakech-Safi
Fès,34.0433,-5.0033,Morocco,Fès-Meknès
Rabat,34.0209,-6.8416,Morocco,Rabat-Salé-Kénitra
Tifariti,26.158,-10.567,Morocco,Laâyoune-Sakia El Hamra
Tangier,35.7767,-5.8039,Morocco,Tanger-Tétouan-Al Hoceïma
Marrakech,31.63,-8.0089,Morocco,Marrakech-Safi
Sale,34.0333,-6.8,Morocco,Rabat-Salé-Kénitra
Mediouna,33.45,-7.51,Morocco,Casablanca-Settat
Meknès,33.895,-5.5547,Morocco,Fès-Meknès
Oujda-Angad,34.6867,-1.9114,Morocco,Oriental
Kenitra,34.25,-6.5833,Morocco,Rabat-Salé-Kénitra
Agadir,30.4333,-9.6,Morocco,Souss-Massa
Tétouan,35.5667,-5.3667,Morocco,Tanger-Tétouan-Al Hoceïma
Taourirt,34.4169,-2.885,Morocco,Oriental
Temara,33.9267,-6.9122,Morocco,Rabat-Salé-Kénitra
Safi,32.2833,-9.2333,Morocco,Marrakech-Safi
Khénifra,32.9394,-5.6675,Morocco,Béni Mellal-Khénifra
Laâyoune,27.1536,-13.2033,Morocco,Laâyoune-Sakia El Hamra
Mohammedia,33.6833,-7.3833,Morocco,Casablanca-Settat
El Jadid,33.2333,-8.5,Morocco,Casablanca-Settat
Kouribga,32.8833,-6.9167,Morocco,Béni Mellal-Khénifra
Béni Mellal,32.3394,-6.3608,Morocco,Béni Mellal-Khénifra
Ait Melloul,30.3342,-9.4972,Morocco,Souss-Massa
Nador,35.1667,-2.9333,Morocco,Oriental
Taza,34.2167,-4.0167,Morocco,Fès-Meknès
Barrechid,33.2667,-7.5833,Morocco,Casablanca-Settat
Settat,33.0,-7.6167,Morocco,Casablanca-Settat
Inezgane,30.3658,-9.5381,Morocco,Souss-Massa
Al Khmissat,33.8167,-6.0667,Morocco,Rabat-Salé-Kénitra
Ksar El Kebir,35.009,-5.9,Morocco,Tanger-Tétouan-Al Hoceïma
Larache,35.1833,-6.15,Morocco,Tanger-Tétouan-Al Hoceïma
Guelmim,28.9833,-10.0667,Morocco,Guelmim-Oued Noun
Berkane,34.9167,-2.3167,Morocco,Oriental
Al Fqih Ben Çalah,32.5,-6.5333,Morocco,Béni Mellal-Khénifra
Khemis Sahel,35.25,-6.0833,Morocco,Tanger-Tétouan-Al Hoceïma
Ad Dakhla,23.7081,-15.9456,Morocco,Dakhla-Oued Ed-Dahab
Bouskoura,33.4489,-7.6486,Morocco,Casablanca-Settat
Oued Zem,32.8667,-6.5667,Morocco,Béni Mellal-Khénifra
Sidi Slimane,34.26,-5.92,Morocco,Rabat-Salé-Kénitra
Guercif,34.2333,-3.3667,Morocco,Oriental
Errachidia,31.9319,-4.4244,Morocco,Drâa-Tafilalet
Ben Guerir,32.23,-7.95,Morocco,Marrakech-Safi
Oulad Teïma,30.4,-9.2167,Morocco,Souss-Massa
Fnidq,35.85,-5.35,Morocco,Tanger-Tétouan-Al Hoceïma
Sidi Qacem,34.2167,-5.7,Morocco,Rabat-Salé-Kénitra
Moulay Abdallah,33.1978,-8.5883,Morocco,Casablanca-Settat
Youssoufia,32.25,-8.5333,Morocco,Marrakech-Safi
Aïn Harrouda,33.6372,-7.4483,Morocco,Casablanca-Settat
Martil,35.6167,-5.2667,Morocco,Tanger-Tétouan-Al Hoceïma
Ouezzane,34.8,-5.5833,Morocco,Tanger-Tétouan-Al Hoceïma
Sidi Bennour,32.65,-8.4333,Morocco,Casablanca-Settat
Sidi Yahya Zaer,33.7105,-6.8831,Morocco,Rabat-Salé-Kénitra
Midalt,32.68,-4.73,Morocco,Drâa-Tafilalet
Azrou,33.4417,-5.2247,Morocco,Fès-Meknès
Al Hoceïma,35.2472,-3.9322,Morocco,Tanger-Tétouan-Al Hoceïma
My Drarga,30.38,-9.48,Morocco,Souss-Massa
Boujad,32.7667,-6.4,Morocco,Béni Mellal-Khénifra
Ain El Aouda,33.8111,-6.7922,Morocco,Rabat-Salé-Kénitra
Qasbat Tadla,32.6,-6.2667,Morocco,Béni Mellal-Khénifra
Beni Yakhlef,33.6555,-7.3221,Morocco,Casablanca-Settat
Azemmour,33.2878,-8.3422,Morocco,Casablanca-Settat
Mrirt,33.1667,-5.5667,Morocco,Béni Mellal-Khénifra
Jerada,34.3117,-2.1636,Morocco,Oriental
El Aïoun,34.5852,-2.5056,Morocco,Oriental
Temsia,30.36,-9.414,Morocco,Souss-Massa
Aziylal,31.9669,-6.5694,Morocco,Béni Mellal-Khénifra
Ait Ourir,31.5644,-7.6628,Morocco,Marrakech-Safi
Zagora,30.3306,-5.8381,Morocco,Drâa-Tafilalet
Biougra,30.2144,-9.3708,Morocco,Souss-Massa
Sidi Yahia El Gharb,34.3058,-6.3058,Morocco,Rabat-Salé-Kénitra
El Hajeb,33.6928,-5.3711,Morocco,Fès-Meknès
Zaïo,34.9333,-2.7333,Morocco,Oriental
